Date,Open,High,Low,Close,Adj Close,Volume
16-Jul-13,"3,611.00","3,611.35","3,589.65","3,598.50","3,598.50","1,590,540,000"
15-Jul-13,"3,601.09","3,609.59","3,591.54","3,607.49","3,607.49","1,449,130,000"
12-Jul-13,"3,579.58","3,600.08","3,576.57","3,600.08","3,600.08","1,615,820,000"
11-Jul-13,"3,557.79","3,579.29","3,552.52","3,578.30","3,578.30","1,744,210,000"
10-Jul-13,"3,502.11","3,522.99","3,502.00","3,520.76","3,520.76","1,567,340,000"
9-Jul-13,"3,501.25","3,508.81","3,484.79","3,504.26","3,504.26","1,633,520,000"
8-Jul-13,"3,493.81","3,495.51","3,475.39","3,484.83","3,484.83","1,521,720,000"
5-Jul-13,"3,468.48","3,479.46","3,441.78","3,479.38","3,479.38","1,254,400,000"
3-Jul-13,"3,420.27","3,455.42","3,417.88","3,443.67","3,443.67","935,980,000"
2-Jul-13,"3,430.69","3,453.29","3,415.23","3,433.40","3,433.40","1,685,190,000"
1-Jul-13,"3,430.48","3,454.43","3,430.31","3,434.49","3,434.49","1,586,750,000"
28-Jun-13,"3,389.30","3,422.20","3,382.75","3,403.25","3,403.25","3,630,410,000"
27-Jun-13,"3,395.79","3,412.79","3,395.41","3,401.86","3,401.86","1,689,800,000"
26-Jun-13,"3,375.70","3,383.70","3,365.48","3,376.22","3,376.22","1,671,280,000"
25-Jun-13,"3,350.59","3,358.31","3,327.69","3,347.89","3,347.89","1,657,280,000"
24-Jun-13,"3,326.38","3,344.66","3,294.95","3,320.76","3,320.76","2,030,960,000"
21-Jun-13,"3,367.81","3,377.30","3,326.86","3,357.25","3,357.25","2,921,900,000"
20-Jun-13,"3,405.14","3,412.94","3,355.93","3,364.64","3,364.64","2,041,500,000"
19-Jun-13,"3,483.59","3,485.45","3,443.20","3,443.20","3,443.20","1,649,200,000"
18-Jun-13,"3,456.29","3,488.31","3,456.09","3,482.18","3,482.18","1,675,090,000"
17-Jun-13,"3,449.97","3,468.56","3,436.34","3,452.13","3,452.13","1,581,830,000"
14-Jun-13,"3,442.31","3,448.40","3,419.32","3,423.56","3,423.56","1,458,030,000"
13-Jun-13,"3,398.54","3,451.03","3,387.61","3,445.36","3,445.36","1,584,740,000"
12-Jun-13,"3,458.14","3,459.18","3,395.91","3,400.43","3,400.43","1,630,200,000"
11-Jun-13,"3,436.62","3,466.57","3,426.57","3,436.95","3,436.95","1,560,370,000"
10-Jun-13,"3,475.68","3,484.81","3,465.54","3,473.77","3,473.77","1,556,520,000"
7-Jun-13,"3,437.84","3,471.73","3,429.43","3,469.22","3,469.22","1,646,810,000"
6-Jun-13,"3,404.41","3,424.05","3,378.24","3,424.05","3,424.05","1,802,700,000"
5-Jun-13,"3,432.85","3,446.15","3,397.91","3,401.48","3,401.48","1,813,890,000"
4-Jun-13,"3,467.02","3,482.75","3,430.02","3,445.26","3,445.26","1,871,640,000"
3-Jun-13,"3,460.76","3,465.84","3,419.39","3,465.37","3,465.37","2,054,100,000"
31-May-13,"3,478.22","3,500.67","3,455.84","3,455.91","3,455.91","1,968,270,000"
30-May-13,"3,473.21","3,503.82","3,473.04","3,491.30","3,491.30","1,737,320,000"
29-May-13,"3,471.67","3,479.53","3,450.40","3,467.52","3,467.52","1,794,650,000"
28-May-13,"3,497.90","3,514.80","3,475.39","3,488.89","3,488.89","1,748,070,000"
24-May-13,"3,438.28","3,459.47","3,429.31","3,459.14","3,459.14","1,449,210,000"
23-May-13,"3,426.07","3,467.13","3,422.51","3,459.42","3,459.42","1,820,670,000"
22-May-13,"3,503.48","3,532.04","3,446.96","3,463.30","3,463.30","2,179,330,000"
21-May-13,"3,495.46","3,512.15","3,486.88","3,502.12","3,502.12","1,776,780,000"
20-May-13,"3,490.46","3,509.41","3,488.13","3,496.43","3,496.43","1,745,260,000"
17-May-13,"3,483.41","3,499.20","3,473.04","3,498.97","3,498.97","1,828,610,000"
16-May-13,"3,473.16","3,485.95","3,462.24","3,465.24","3,465.24","1,945,760,000"
15-May-13,"3,455.67","3,475.48","3,452.31","3,471.62","3,471.62","1,843,910,000"
14-May-13,"3,439.72","3,468.67","3,439.72","3,462.61","3,462.61","1,820,520,000"
13-May-13,"3,429.53","3,447.10","3,426.67","3,438.79","3,438.79","1,615,510,000"
10-May-13,"3,414.84","3,436.60","3,411.59","3,436.58","3,436.58","1,689,730,000"
9-May-13,"3,408.94","3,428.54","3,403.43","3,409.17","3,409.17","1,826,220,000"
8-May-13,"3,394.89","3,413.27","3,389.80","3,413.27","3,413.27","1,756,400,000"
7-May-13,"3,398.84","3,402.24","3,381.04","3,396.63","3,396.63","1,709,800,000"
6-May-13,"3,382.33","3,396.21","3,381.44","3,392.97","3,392.97","1,500,410,000"
3-May-13,"3,371.41","3,388.12","3,370.30","3,378.63","3,378.63","1,745,570,000"
2-May-13,"3,306.15","3,344.90","3,305.81","3,340.62","3,340.62","1,757,480,000"
1-May-13,"3,325.35","3,330.02","3,296.50","3,299.13","3,299.13","1,884,600,000"
30-Apr-13,"3,308.05","3,328.79","3,298.58","3,328.79","3,328.79","1,984,270,000"
29-Apr-13,"3,290.31","3,315.33","3,289.42","3,307.02","3,307.02","1,594,110,000"
26-Apr-13,"3,284.07","3,287.48","3,268.03","3,279.26","3,279.26","1,721,970,000"
25-Apr-13,"3,279.82","3,301.28","3,279.29","3,289.99","3,289.99","2,012,230,000"
24-Apr-13,"3,262.21","3,277.12","3,255.44","3,269.65","3,269.65","1,738,590,000"
23-Apr-13,"3,252.80","3,275.89","3,241.52","3,269.33","3,269.33","1,684,770,000"
22-Apr-13,"3,217.40","3,241.16","3,198.74","3,233.55","3,233.55","1,628,340,000"
19-Apr-13,"3,169.32","3,210.03","3,168.33","3,206.06","3,206.06","1,738,850,000"
18-Apr-13,"3,212.24","3,212.97","3,154.96","3,166.36","3,166.36","1,766,000,000"
17-Apr-13,"3,236.25","3,236.98","3,186.08","3,204.67","3,204.67","1,902,730,000"
16-Apr-13,"3,239.05","3,265.84","3,231.45","3,264.63","3,264.63","1,515,400,000"
15-Apr-13,"3,277.58","3,283.40","3,213.46","3,216.49","3,216.49","1,779,320,000"
12-Apr-13,"3,292.39","3,296.50","3,271.02","3,294.95","3,294.95","1,471,180,000"
11-Apr-13,"3,289.59","3,306.95","3,287.74","3,300.16","3,300.16","1,829,170,000"
10-Apr-13,"3,246.06","3,299.16","3,245.80","3,297.25","3,297.25","1,769,870,000"
9-Apr-13,"3,229.81","3,249.95","3,215.02","3,237.86","3,237.86","1,498,130,000"
8-Apr-13,"3,207.15","3,222.26","3,195.57","3,222.25","3,222.25","1,323,520,000"
5-Apr-13,"3,174.00","3,206.21","3,168.88","3,203.86","3,203.86","1,594,090,000"
4-Apr-13,"3,219.11","3,226.24","3,206.02","3,224.98","3,224.98","1,475,720,000"
3-Apr-13,"3,257.38","3,260.15","3,210.39","3,218.60","3,218.60","1,813,910,000"
2-Apr-13,"3,252.55","3,267.93","3,245.41","3,254.86","3,254.86","1,580,800,000"
1-Apr-13,"3,268.63","3,270.23","3,230.57","3,239.17","3,239.17","1,481,360,000"
28-Mar-13,"3,257.32","3,270.30","3,253.21","3,267.52","3,267.52","1,636,800,000"
27-Mar-13,"3,230.76","3,258.26","3,227.02","3,256.52","3,256.52","1,420,130,000"
26-Mar-13,"3,249.95","3,252.93","3,239.92","3,252.48","3,252.48","1,444,500,000"
25-Mar-13,"3,255.85","3,263.63","3,222.48","3,235.30","3,235.30","1,666,010,000"
22-Mar-13,"3,235.30","3,247.94","3,230.86","3,245.00","3,245.00","1,681,360,000"
21-Mar-13,"3,228.17","3,237.57","3,215.69","3,222.60","3,222.60","1,692,260,000"
20-Mar-13,"3,251.91","3,257.99","3,240.90","3,254.19","3,254.19","1,599,120,000"
19-Mar-13,"3,246.70","3,252.60","3,205.42","3,229.10","3,229.10","1,690,680,000"
18-Mar-13,"3,215.71","3,249.37","3,211.10","3,237.59","3,237.59","1,550,510,000"
15-Mar-13,"3,260.46","3,260.62","3,242.65","3,249.07","3,249.07","2,305,230,000"
14-Mar-13,"3,253.00","3,258.93","3,250.24","3,258.93","3,258.93","1,651,650,000"
13-Mar-13,"3,243.04","3,251.45","3,230.62","3,245.12","3,245.12","1,577,280,000"
12-Mar-13,"3,244.85","3,249.78","3,229.92","3,242.32","3,242.32","1,673,740,000"
11-Mar-13,"3,237.74","3,252.87","3,233.67","3,252.87","3,252.87","1,628,500,000"
8-Mar-13,"3,245.85","3,248.70","3,227.89","3,244.37","3,244.37","1,611,700,000"
7-Mar-13,"3,224.50","3,235.10","3,221.47","3,232.09","3,232.09","1,675,640,000"
6-Mar-13,"3,233.31","3,233.44","3,217.67","3,222.37","3,222.37","1,764,020,000"
5-Mar-13,"3,200.38","3,227.31","3,200.27","3,224.13","3,224.13","1,891,510,000"
4-Mar-13,"3,159.46","3,182.27","3,154.79","3,182.03","3,182.03","1,718,290,000"
1-Mar-13,"3,143.54","3,171.50","3,129.40","3,169.74","3,169.74","1,870,250,000"
28-Feb-13,"3,161.43","3,182.60","3,159.72","3,160.19","3,160.19","2,022,530,000"
27-Feb-13,"3,129.72","3,177.80","3,127.27","3,162.26","3,162.26","1,727,260,000"
26-Feb-13,"3,126.23","3,135.57","3,105.36","3,129.65","3,129.65","1,847,750,000"
25-Feb-13,"3,180.59","3,186.25","3,116.25","3,116.25","3,116.25","1,930,990,000"
22-Feb-13,"3,149.09","3,161.82","3,139.55","3,161.82","3,161.82","1,581,500,000"
21-Feb-13,"3,154.88","3,155.19","3,118.62","3,131.49","3,131.49","2,052,630,000"
